0,25.92
1,26.07
2,25.93
3,27.14
4,26.9
5,26.15
6,24.78
7,25.41
8,27.69
9,27.1
10,27.73
11,24.23
12,24.05
13,21.92
14,23.52
15,23.82
16,19.55
17,26.19
18,25.18
19,25.95
20,22.93
21,23.96
22,23.31
23,23.14
24,24.86
25,25.29
26,28.8
27,27.86
28,26.11
29,23
30,23.05
31,25.82
32,24.71
33,21.91
34,23.27
35,26.21
36,21.56
37,21.28
38,21.96
39,22.75
40,20.12
41,23.63
42,22.18
43,24.37
44,25.17
45,20.72
46,23.97
47,26.05
48,26.14
49,23.52
50,25.49
51,25.46
52,22.78
53,24.36
54,26.15
55,23.75
56,24.77
57,23
58,25.03
59,23.35
60,21.79
61,25.6
62,26.07
63,25.24
64,25.68
65,25.8
66,26.14
67,26.84
68,25.27
69,23.54
70,25.04
71,19.1
72,24.32
73,24.05
74,24.96
75,22.49
76,24.76
77,22.46
78,22.27
79,23.25
80,27.98
81,25.53
82,24.29
83,26.55
84,25.85
85,26.2
86,24.94
87,26.79
88,27.15
89,25.1
90,25.81
91,25.04
92,26.39
93,25.5
94,26.31
95,24.61
96,26.52
97,24.23
98,26.24
99,25.46
100,25.47
101,25.34
102,25.34
103,28.08
104,27.22
105,24.4
106,22.08
107,22.78
108,21.54
109,22.83
110,22.5
111,24.2
112,25.54
113,25.55
114,25.5
115,24.63
116,23.11
117,26.8
118,23.17
119,23.99
120,22.58
121,25.43
122,22.6
123,23.25
124,19.76
125,24.37
126,24.45
127,23.85
128,23.73
129,26.25
130,25.57
131,25.17
132,22.81
133,23.12
134,21.11
135,26.49
136,24.5
137,25.97
138,21.95
139,24.67
140,23.18
141,23.05
142,26.15
143,23.24
144,25.38
145,20.89
146,24.85
147,23.38
148,22.13
149,24.08
150,25.57
151,25.54
152,25.65
153,26.35
154,25.54
155,25.04
156,26.81
157,26.55
158,26.18
159,25.35
160,24.52
161,24.97
162,25.68
163,26.18
164,26.69
165,25.57
166,26.47
167,25.71
168,25.65
169,26.57
170,26.35
171,27.1
172,25.46
173,25.96
174,26.45
175,25.78
176,25.38
177,24.95
178,22.28
179,21.94
180,24.94
181,25.99
182,25.25
183,23.18
184,26.22
185,27.19
186,26.61
187,25.34
188,24.82
189,24.85
190,24.61
191,26.69
192,26.88
193,24.95
194,25.25
195,27.06
196,26.35
197,22.28
198,25.3
199,26.71
200,26.21
201,24.56
202,26.88
203,26.42
204,24.82
205,26.43
206,25.6
207,26.22
208,25.3
209,26.75
210,27.41
211,24.43
212,26.06
213,26.05
214,26.45
215,27.84
216,24.2
217,23.52
218,24.91
219,23.03
220,21.89
221,24.79
222,23.34
223,24.53
224,25.17
225,26.83
226,24.86
227,24.95
228,26.15
229,25.7
230,26.21
231,26.15
232,25.2
233,24.14
234,23.8
235,23.72
236,25.19
237,26.41
238,24.01
239,25.59
240,26.6
241,26.29
242,26.4
243,24.85
244,22.95
245,26.39
246,26.17
247,25.55
248,22.08
249,23.41
250,25.63
251,25.45
252,25.09
253,23.82
254,23.98
255,25.24
256,27.15
257,22.69
258,25.48
259,25.73
260,25.08
261,26.59
262,27.05
263,28.12
264,27.85
265,27.95
266,27.85
267,26.83
268,25.97
269,24.21
270,25.43
271,24.08
272,26.27
273,23.3
274,25.19
275,26.91
276,27.48
277,25.55
278,26.05
279,26.27
280,24.95
281,24.19
282,24.42
283,22.34
284,20.89
285,24.19
286,21.21
287,23.58
288,25.51
289,26.27
290,25.09
291,24.05
292,23.25
293,24.72
294,25.25
295,25.58
296,26.14
297,23.31
298,25.64
299,24.95
300,24.14
301,22.07
302,23.68
303,23.91
304,22.57
305,19.98
306,23.17
307,23.35
308,22.09
309,23.57
310,23.34
311,22.15
312,24.47
313,24.82
314,24.98
315,23.95
316,24.66
317,24.58
318,24.58
319,23.16
320,23.95
321,22.33
322,22.33
323,21.65
324,22.87
325,22.7
326,21.25
327,22.88
328,22.75
329,22.03
330,21.97
331,22.45
332,21.64
333,20.62
334,22.64
335,23.87
336,22.8
337,24.63
338,22.06
339,22.18
340,21.96
341,22.97
342,24.3
343,23.72
344,22.75
345,24.8
346,25.05
347,24.42
348,23.16
349,21.98
350,23.69
351,21.56
352,22.23
353,20.56
354,18.74
355,20.76
356,22.64
357,22.5
358,24.09
359,25.34
360,26.15
361,25.65
362,25.6
363,25.6
364,25.6
365,25.6
366,25.6
